,阿妮塔101民用无人机,阿妮塔202军用无人机,阿妮塔小型桦树发电机,白兰地,斑节虾,宝石工艺品,杯面,充电电池,纯金线材,大龙虾,带鱼,单晶硅,弹丸加速装置,刀具,靛红五月军用食品,电子配件,发动机,方便食品（军用）,防弹背心,蜂窝防热烧蚀材料,负片炮弹,橄榄油,钢筋混凝土轨枕,高档餐具,高导磁硅钢片,高导热陶瓷,高端护肤品,罐头,海角辣椒,海角水产礼盒,海盐,航天半导体,航天纪念品,航天元器件,黑松露,红茶,琥珀,户外用品,画材,桦石发财树,化妆品,黄铜,黄铜线圈,火车玩具,火澄石,火腿,家电,家用太阳能电池组,建材,坚果,金箔,金箔酒,精钢,抗污染防护服,孔雀石,锂电池,录像带,录音带,绿松石,玛瑙,曼德工具箱,棉花,纳豆,年货大礼包,镍基高温合金,炮弹,啤酒,漆黑矿渣,汽配零件,汽油,铅矿石,琴酒,青金石,轻奢女装,人工晶花,日化用品,沙金,砂石,石材,石墨,石墨烯,石墨烯电池,石英砂,手工编织地毯,水产甄选礼盒,水晶工艺品,松茸,塑胶炸药,随身听,钛合金,钛矿石,太阳电池阵,碳纤维,铁轨用特种钢材,铁矿石,土豆,图形加速卡,沃德烤鸡,沃德山泉,无刷电机,西大陆甄选礼盒,香水,行李箱包,形态共振瞄准器,修格里严选礼包,学会书籍,扬声器,液氧甲烷燃料,银矿石,荧光棒,游戏机,游戏卡带,鱿鱼,羽绒服,鱼子酱,折扇,珍珠,子弹
7号自由港,1659.0,3710.0,7439.0,803.0,588.0,4202.0,53.0,308.0,7277.0,1270.0,312.0,1664.0,2383.0,1929.0,204.0,1024.0,3666.0,117.0,3359.0,100.0,4431.0,288.0,664.0,397.0,907.0,1859.0,3069.0,116.0,104.0,4241.0,88.0,100.0,777.0,100.0,4834.0,874.0,2822.0,403.0,597.0,4888.0,700.0,694.0,756.0,362.0,7385.0,1781.0,899.0,1244.0,522.0,210.0,3540.0,2403.0,1658.0,2996.0,2079.0,822.0,543.0,271.0,1487.0,2212.0,1285.0,1095.0,168.0,3064.0,100.0,1915.0,118.0,738.0,814.0,656.0,780.0,489.0,2458.0,520.0,1777.0,171.0,3186.0,36.0,216.0,453.0,2304.0,4070.0,322.0,1399.0,6456.0,800.0,1908.0,951.0,1265.0,2772.0,2041.0,100.0,1498.0,1328.0,392.0,82.0,3871.0,465.0,70.0,100.0,7089.0,1215.0,552.0,1103.0,1958.0,834.0,1056.0,100.0,2725.0,470.0,3552.0,797.0,248.0,980.0,3893.0,755.0,4600.0,758.0
修格里城,1935.0,3815.0,7852.0,803.0,782.0,4202.0,53.0,334.0,6615.0,1460.0,360.0,1869.0,2147.0,1985.0,182.0,1137.0,3363.0,117.0,2932.0,100.0,4536.0,288.0,583.0,368.0,949.0,1941.0,3159.0,105.0,117.0,4462.0,99.0,100.0,862.0,100.0,4834.0,688.0,2419.0,443.0,563.0,5279.0,721.0,657.0,791.0,336.0,7560.0,1781.0,848.0,1452.0,482.0,237.0,3270.0,2473.0,1411.0,3108.0,1782.0,891.0,543.0,271.0,1247.0,1953.0,1021.0,848.0,163.0,2688.0,100.0,1710.0,133.0,622.0,720.0,587.0,719.0,489.0,2170.0,536.0,1997.0,171.0,2943.0,32.0,189.0,407.0,2557.0,4531.0,266.0,1399.0,6740.0,800.0,1908.0,827.0,1265.0,2797.0,1750.0,100.0,1554.0,1166.0,361.0,66.0,3410.0,298.0,50.0,100.0,7089.0,1251.0,590.0,1155.0,1688.0,978.0,1037.0,100.0,2650.0,449.0,3424.0,732.0,280.0,1009.0,4007.0,777.0,4920.0,677.0
岚心城,1628.0,3710.0,7508.0,827.0,623.0,4202.0,53.0,305.0,6489.0,1060.0,254.0,1395.0,2276.0,1873.0,188.0,1085.0,3565.0,117.0,3018.0,100.0,4452.0,288.0,556.0,379.0,890.0,1729.0,3159.0,108.0,85.0,3909.0,91.0,100.0,824.0,100.0,4970.0,729.0,2374.0,371.0,563.0,5181.0,742.0,620.0,721.0,339.0,7420.0,1781.0,873.0,1221.0,450.0,223.0,3180.0,2333.0,1452.0,2968.0,1749.0,814.0,543.0,271.0,1213.0,1832.0,933.0,818.0,163.0,2849.0,100.0,1813.0,122.0,555.0,763.0,604.0,678.0,489.0,2035.0,551.0,1884.0,171.0,2862.0,30.0,180.0,407.0,2442.0,4186.0,233.0,1399.0,6029.0,824.0,1962.0,877.0,1193.0,2671.0,1717.0,100.0,1484.0,1112.0,350.0,61.0,3348.0,316.0,53.0,100.0,7089.0,1251.0,494.0,1050.0,1789.0,636.0,989.0,100.0,2650.0,428.0,3392.0,687.0,212.0,1009.0,4007.0,733.0,4240.0,718.0
曼德矿场,2089.0,3920.0,8128.0,827.0,958.0,4080.0,55.0,357.0,6458.0,1060.0,240.0,1357.0,2297.0,1929.0,177.0,1249.0,3565.0,117.0,2932.0,100.0,4641.0,280.0,540.0,383.0,1016.0,2071.0,3069.0,113.0,82.0,3909.0,109.0,100.0,925.0,100.0,4697.0,791.0,2419.0,371.0,563.0,5523.0,700.0,620.0,805.0,362.0,7735.0,1781.0,873.0,1532.0,450.0,265.0,3180.0,2403.0,1452.0,3220.0,1782.0,952.0,543.0,271.0,1247.0,1866.0,880.0,848.0,163.0,2957.0,100.0,1761.0,149.0,588.0,756.0,587.0,698.0,504.0,2074.0,520.0,2164.0,176.0,2862.0,30.0,180.0,396.0,2811.0,4762.0,249.0,1360.0,6029.0,800.0,1854.0,852.0,1265.0,2898.0,1620.0,100.0,1610.0,1080.0,350.0,66.0,3072.0,390.0,60.0,100.0,7089.0,1215.0,494.0,1208.0,1874.0,618.0,1085.0,100.0,2725.0,470.0,3648.0,816.0,200.0,980.0,3893.0,755.0,4120.0,697.0
沃德镇,1628.0,3605.0,7301.0,803.0,606.0,4080.0,55.0,297.0,6300.0,1060.0,254.0,1318.0,2211.0,2042.0,188.0,1055.0,3464.0,117.0,3018.0,100.0,4326.0,288.0,556.0,368.0,840.0,1680.0,3069.0,105.0,85.0,3909.0,88.0,100.0,800.0,100.0,4560.0,729.0,2374.0,371.0,563.0,5035.0,700.0,620.0,700.0,330.0,7420.0,1781.0,873.0,1221.0,464.0,210.0,3090.0,2403.0,1411.0,2968.0,1749.0,791.0,512.0,256.0,1213.0,1832.0,933.0,818.0,163.0,2930.0,100.0,1761.0,118.0,555.0,720.0,587.0,678.0,475.0,2035.0,536.0,1830.0,176.0,2781.0,30.0,180.0,407.0,2373.0,4070.0,233.0,1320.0,6029.0,824.0,1800.0,852.0,1265.0,2596.0,1669.0,100.0,1442.0,1112.0,350.0,65.0,3256.0,325.0,52.0,100.0,7089.0,1215.0,494.0,1082.0,1840.0,636.0,960.0,100.0,2575.0,428.0,3488.0,706.0,212.0,980.0,3893.0,755.0,4240.0,697.0
海角城,1705.0,3920.0,7439.0,803.0,870.0,4202.0,53.0,300.0,6300.0,1000.0,240.0,1280.0,2705.0,1929.0,235.0,1178.0,4069.0,117.0,3701.0,100.0,4641.0,288.0,556.0,442.0,966.0,1876.0,3159.0,131.0,80.0,3688.0,104.0,100.0,917.0,100.0,4834.0,1142.0,3158.0,360.0,614.0,5401.0,721.0,620.0,805.0,400.0,7735.0,1781.0,975.0,1244.0,450.0,242.0,3090.0,2403.0,1863.0,3220.0,2327.0,799.0,589.0,294.0,1693.0,1832.0,933.0,1343.0,163.0,3387.0,100.0,2069.0,143.0,555.0,922.0,707.0,841.0,489.0,2035.0,520.0,2081.0,171.0,2781.0,30.0,180.0,476.0,2650.0,4186.0,240.0,1399.0,5688.0,800.0,1908.0,1075.0,1265.0,2898.0,1669.0,100.0,1610.0,1112.0,350.0,99.0,3256.0,688.0,100.0,100.0,7089.0,1251.0,480.0,1208.0,2211.0,600.0,1200.0,100.0,3025.0,532.0,4032.0,1011.0,200.0,980.0,3893.0,755.0,4000.0,839.0
淘金乐园,2166.0,3605.0,8266.0,780.0,1047.0,4080.0,55.0,377.0,6300.0,1060.0,240.0,1318.0,2448.0,1929.0,195.0,1260.0,3767.0,117.0,3246.0,100.0,4326.0,280.0,583.0,397.0,865.0,1680.0,3069.0,119.0,80.0,3909.0,114.0,100.0,932.0,100.0,4697.0,874.0,2598.0,360.0,563.0,5792.0,700.0,639.0,700.0,378.0,7420.0,1781.0,924.0,1590.0,468.0,275.0,3000.0,2403.0,1589.0,2968.0,1865.0,1006.0,558.0,279.0,1316.0,1728.0,994.0,945.0,163.0,3064.0,100.0,1864.0,148.0,555.0,792.0,638.0,739.0,489.0,1920.0,520.0,2301.0,176.0,2700.0,32.0,189.0,419.0,2834.0,4877.0,233.0,1360.0,6029.0,800.0,1854.0,943.0,1229.0,2596.0,1750.0,100.0,1442.0,1166.0,333.0,71.0,3318.0,465.0,70.0,100.0,7089.0,1215.0,480.0,1082.0,1958.0,618.0,1133.0,100.0,2800.0,478.0,3776.0,881.0,200.0,980.0,3893.0,755.0,4240.0,758.0
澄明数据中心,1859.0,3710.0,7715.0,780.0,782.0,4080.0,56.0,340.0,6962.0,1460.0,367.0,1907.0,2297.0,1929.0,191.0,1167.0,3565.0,117.0,3132.0,100.0,4431.0,288.0,610.0,383.0,907.0,1941.0,3069.0,113.0,114.0,4462.0,101.0,100.0,862.0,100.0,4834.0,791.0,2598.0,432.0,563.0,5279.0,700.0,676.0,756.0,320.0,7385.0,1781.0,899.0,1394.0,500.0,237.0,3360.0,2403.0,1480.0,3080.0,1865.0,906.0,512.0,256.0,1316.0,2039.0,1109.0,923.0,163.0,2957.0,100.0,1813.0,133.0,672.0,756.0,604.0,739.0,489.0,2266.0,520.0,1997.0,176.0,3024.0,33.0,203.0,419.0,2627.0,4416.0,289.0,1360.0,6740.0,800.0,1908.0,885.0,1300.0,2696.0,1831.0,100.0,1498.0,1220.0,371.0,73.0,3564.0,381.0,62.0,100.0,7089.0,1215.0,576.0,1103.0,1874.0,996.0,960.0,100.0,2500.0,416.0,3200.0,648.0,286.0,1009.0,4007.0,755.0,4920.0,718.0
荒原站,1966.0,3920.0,7990.0,780.0,958.0,4080.0,55.0,346.0,6615.0,1620.0,408.0,2035.0,2297.0,1929.0,177.0,1219.0,3565.0,117.0,2932.0,100.0,4641.0,280.0,583.0,383.0,966.0,2071.0,3069.0,110.0,125.0,4684.0,109.0,100.0,901.0,100.0,4697.0,791.0,2240.0,461.0,563.0,5523.0,700.0,639.0,805.0,352.0,7735.0,1781.0,899.0,1475.0,482.0,252.0,3270.0,2403.0,1411.0,3304.0,1650.0,922.0,543.0,271.0,1144.0,1953.0,994.0,750.0,163.0,2957.0,100.0,1761.0,142.0,622.0,778.0,587.0,678.0,489.0,2170.0,520.0,2164.0,176.0,2943.0,32.0,189.0,384.0,2742.0,4531.0,266.0,1360.0,7025.0,800.0,1854.0,852.0,1229.0,2898.0,1750.0,100.0,1610.0,1166.0,361.0,61.0,3318.0,381.0,60.0,100.0,7089.0,1215.0,614.0,1239.0,1874.0,1122.0,1056.0,100.0,2725.0,458.0,3648.0,816.0,312.0,980.0,3893.0,755.0,5240.0,697.0
贡露城,1628.0,3605.0,7301.0,780.0,623.0,4202.0,53.0,288.0,6300.0,1060.0,254.0,1318.0,2276.0,1985.0,177.0,1055.0,3565.0,117.0,3018.0,100.0,4326.0,280.0,556.0,390.0,840.0,1680.0,2980.0,105.0,85.0,3909.0,88.0,100.0,824.0,100.0,4697.0,729.0,2374.0,371.0,597.0,5181.0,700.0,620.0,700.0,320.0,7420.0,1680.0,848.0,1187.0,464.0,223.0,3180.0,2473.0,1452.0,2884.0,1749.0,768.0,512.0,256.0,1213.0,1832.0,933.0,818.0,168.0,2849.0,100.0,1761.0,118.0,555.0,742.0,604.0,678.0,489.0,2035.0,520.0,1884.0,171.0,2862.0,30.0,180.0,396.0,2442.0,4070.0,233.0,1360.0,6029.0,800.0,1854.0,877.0,1265.0,2596.0,1669.0,100.0,1442.0,1112.0,350.0,65.0,3256.0,316.0,53.0,100.0,6688.0,1180.0,494.0,1050.0,1789.0,618.0,989.0,100.0,2650.0,428.0,3392.0,687.0,212.0,980.0,3780.0,799.0,4240.0,718.0
