cat,修格里城,淘金乐园,铁盟哨站,荒原站,曼德矿场,澄明数据中心,7号自由港,阿妮塔战备工厂,阿妮塔能源研究所
阿妮塔101民用无人机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413
阿妮塔202军用无人机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3780,0.0
阿妮塔小型桦树发电机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6681
白兰地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
斑节虾,0.0,0.0,0.0,0.0,0.0,0.0,612,0.0,0.0
宝石工艺品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杯面,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
充电电池,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311
纯金线材,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大龙虾,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
带鱼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
单晶硅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
弹丸加速装置,1245,0.0,1282,0.0,0.0,0.0,0.0,0.0,0.0
刀具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
靛红五月军用食品,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0
电子配件,0.0,0.0,0.0,0.0,0.0,0.0,1188,0.0,0.0
发动机,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
方便食品（军用）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
防弹背心,0.0,0.0,3502,0.0,0.0,0.0,0.0,0.0,0.0
蜂窝防热烧蚀材料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
负片炮弹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738,0.0
橄榄油,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
钢筋混凝土轨枕,0.0,0.0,0.0,0.0,578,0.0,0.0,0.0,0.0
高档餐具,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高导磁硅钢片,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840,0.0
高导热陶瓷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
