cat,修格里城,淘金乐园,铁盟哨站,荒原站,曼德矿场,澄明数据中心,7号自由港,阿妮塔战备工厂,阿妮塔能源研究所
阿妮塔101民用无人机,1858,2101,1952,2359,1922,1580,1609,1725,0.0
阿妮塔202军用无人机,4425,3317,3606,3724,4430,4044,3116,0.0,3413
阿妮塔小型桦树发电机,6674,7605,8789,8789,8372,8101,5951,8555,0.0
白兰地,699,874,819,874,968,725,811,725,835
斑节虾,719,1131,992,795,977,735,0.0,625,715
宝石工艺品,4202,4692,3754,4692,3794,3468,4328,3672,3958
杯面,53,64,55,52,56,58,53,62,56
充电电池,307,328,372,356,303,337,311,306,0.0
纯金线材,6086,5355,6284,6549,5489,6266,5822,6813,8883
大龙虾,1241,1018,1632,1490,1208,1518,1016,1248,1322
带鱼,356,250,407,420,257,396,346,296,288
单晶硅,1719,1437,2247,1933,1628,2002,1681,1548,1633
弹丸加速装置,0.0,2913,0.0,2251,1539,3147,3241,2840,2555
刀具,1687,1775,2124,1910,1948,2083,1620,1755,1910
靛红五月军用食品,182,205,0.0,193,198,181,202,208,232
电子配件,1001,1436,1196,1365,1149,1155,0.0,1074,1184
发动机,0.0,3541,4157,3280,3173,2995,3373,3776,4603
方便食品（军用）,135,105,109,123,111,129,129,123,117
防弹背心,1583,3051,0.0,3782,2932,1942,2922,2921,2583
蜂窝防热烧蚀材料,3958,3965,4753,4980,4074,4811,4190,4106,3507
负片炮弹,4899,3461,5361,4827,4919,4298,3722,0.0,5140
橄榄油,253,272,328,246,269,320,253,291,246
钢筋混凝土轨枕,635,606,567,519,0.0,506,651,631,682
高档餐具,0.0,345,420,383,456,402,429,377,393
高导磁硅钢片,807,926,873,1092,1179,889,889,0.0,898
高导热陶瓷,2174,2073,2076,2216,2154,2155,1859,1785,1830
高端护肤品,3475,3284,3222,3008,3376,3161,2486,3315,2670
罐头,0.0,113,102,92,103,118,118,113,144
海角辣椒,106,78,106,113,84,120,102,101,81
海角水产礼盒,3927,4065,3933,5012,4261,3882,4241,3902,4583
海盐,91,113,106,109,130,93,0.0,95,100
航天半导体,8851,8966,7902,8368,8991,8825,7919,8174,7691
航天纪念品,750,1081,849,982,823,853,0.0,832,824
黑松露,5076,5636,4603,4697,4932,5076,4834,4932,4885
红茶,0.0,725,801,949,870,744,918,787,977
琥珀,2419,3066,2192,0.0,2903,2468,2399,2511,3440
户外用品,425,378,466,433,386,436,484,407,393
画材,501,524,608,507,524,659,591,574,602
桦石发财树,5279,5444,5023,5578,4695,4751,0.0,4641,5105
化妆品,757,679,707,686,700,651,707,735,784
黄铜,591,748,741,613,0.0,777,687,597,608
黄铜线圈,799,721,770,829,733,764,771,0.0,696
火车玩具,360,404,366,348,304,0.0,369,363,316
火澄石,7938,7049,6760,7348,6962,6277,6647,0.0,6304
火箭拼装玩具,661,602,599,712,654,651,538,672,586
火腿,1781,2013,2066,1923,2137,1817,1745,1763,1906
家电,0.0,979,780,908,838,782,1025,899,998
家用太阳能电池组,1481,1574,1313,1401,1501,1324,1082,1281,0.0
建材,468,431,385,545,0.0,475,465,494,486
坚果,216,303,259,242,289,211,0.0,199,206
金箔,3761,3150,3270,3434,3180,3864,3540,3399,3810
金箔酒,2621,2163,2226,2259,2643,2043,2643,2235,2884
精钢,1355,1335,0.0,1340,1568,1554,1542,1573,1651
抗污染防护服,2735,2374,3192,3172,2801,3049,2397,0.0,3326
孔雀石,1925,1865,1700,0.0,1568,1772,2162,1947,2534
锂电池,838,956,1068,904,981,1060,937,839,0.0
录像带,500,530,532,586,467,0.0,548,516,541
录音带,241,282,257,255,293,0.0,282,238,318
绿松石,998,1369,1037,0.0,1272,1474,1591,1287,1461
玛瑙,2129,0.0,1992,1953,1885,1774,2124,1922,2576
曼德工具箱,1113,974,914,1054,0.0,1009,1375,1305,1666
棉花,916,945,889,0.0,721,877,1029,918,1193
纳豆,143,170,174,170,183,156,161,178,150
年货大礼包,2769,2758,3419,2957,3312,2661,3677,2604,3607
镍基高温合金,1590,1843,1772,1733,2076,1353,1701,1863,1469
炮弹,1505,1957,0.0,1849,1937,1704,1781,1685,2260
啤酒,134,167,145,142,149,130,0.0,115,131
漆黑矿渣,622,0.0,629,578,517,652,708,480,805
汽配零件,0.0,713,772,622,605,764,651,744,933
汽油,587,542,0.0,311,387,399,361,791,690
铅矿石,697,791,740,0.0,705,702,780,903,722
